Регион,Численность,Округ
Алтайский край,2268179,СФО
Амурская область,772525,ДФО
Архангельская область,1069782,СЗФО
Астраханская область,989430,ЮФО
Белгородская область,1531917,ЦФО
Брянская область,1168771,ЦФО
Владимирская область,1323659,ЦФО
Волгоградская область,2449781,ЮФО
Вологодская область,1139499,СЗФО
Воронежская область,2287678,ЦФО
Еврейская автономная область,153831,ДФО
Забайкальский край,1043467,ДФО
Ивановская область,976918,ЦФО
Иркутская область,2357134,СФО
Кабардино-Балкарская Республика,870487,СКФО
Калининградская область,1027678,СЗФО
Калужская область,1012844,ЦФО
Камчатский край,312704,ДФО
Карачаево-Черкесская Республика,464219,СКФО
Кемеровская область,2604272,СФО
Кировская область,1234780,ПФО
Костромская область,620776,ЦФО
Краснодарский край,5687378,ЮФО
Красноярский край,2849169,СФО
Курганская область,805510,УФО
Курская область,1083584,ЦФО
Ленинградская область,1911586,СЗФО
Липецкая область,1113680,ЦФО
Магаданская область,137767,ДФО
Москва,12635466,ЦФО
Московская область,7768878,ЦФО
Мурманская область,724452,СЗФО
Ненецкий автономный округ,44540,СЗФО
Нижегородская область,3144254,ПФО
Новгородская область,586129,СЗФО
Новосибирская область,2780292,СФО
Омская область,1879548,СФО
Оренбургская область,1924578,ПФО
Орловская область,714094,ЦФО
Пензенская область,1274062,ПФО
Пермский край,2556852,ПФО
Приморский край,1863011,ДФО
Псковская область,613356,СЗФО
Республика Адыгея,468340,ЮФО
Республика Алтай,221559,СФО
Республика Башкортостан,4001678,ПФО
Республика Бурятия,982629,ДФО
Республика Дагестан,3153857,СКФО
Республика Ингушетия,524058,СКФО
Республика Калмыкия,267756,ЮФО
Республика Карелия,603067,СЗФО
Республика Коми,803477,СЗФО
Республика Крым,1896393,ЮФО
Республика Марий Эл,671455,ПФО
Республика Мордовия,770673,ПФО
Республика Саха (Якутия),992115,ДФО
Республика Северная Осетия - Алания,688124,СКФО
Республика Татарстан,3886395,ПФО
Республика Тыва,332609,СФО
Республика Хакасия,528338,СФО
Ростовская область,4153763,ЮФО
Рязанская область,1085152,ЦФО
Самарская область,3131720,ПФО
Санкт-Петербург,5377503,СЗФО
Саратовская область,2360959,ПФО
Сахалинская область,484177,ДФО
Свердловская область,4264340,УФО
Севастополь,522057,ЮФО
Смоленская область,909856,ЦФО
Ставропольский край,2780204,СКФО
Тамбовская область,980984,ЦФО
Тверская область,1230190,ЦФО
Томская область,1068304,СФО
Тульская область,1432570,ЦФО
Тюменская область,1552148,УФО
Удмуртская Республика,1484460,ПФО
Ульяновская область,1203969,ПФО
Хабаровский край,1298978,ДФО
Ханты-Мансийский автономный округ - Югра,1702240,УФО
Челябинская область,3418606,УФО
Чеченская Республика,1516387,СКФО
Чувашская Республика,1198429,ПФО
Чукотский автономный округ,50040,ДФО
Ямало-Ненецкий автономный округ,552117,УФО
Ярославская область,1227383,ЦФО
